"No.","Time","Source","Destination","Protocol","Length","Info"
"11006","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11007","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11008","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11009","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11010","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11011","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11012","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11013","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11014","164.273842","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11015","164.286795","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11016","164.296355","192.168.1.7","36.92.238.140","QUIC","90","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11017","164.314708","192.168.1.7","36.92.238.140","QUIC","91","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11018","164.315440","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11019","164.330811","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11020","164.341344","192.168.1.7","36.92.238.140","QUIC","91","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11021","164.342298","192.168.1.7","36.92.238.140","QUIC","90","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11022","164.345448","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11023","164.346529","192.168.1.7","36.92.238.140","QUIC","90","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11024","164.347219","192.168.1.7","36.92.238.140","QUIC","90","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11025","164.347685","192.168.1.7","36.92.238.140","QUIC","90","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11026","164.349132","192.168.1.7","36.92.238.140","QUIC","95","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11027","164.350134","192.168.1.7","36.92.238.140","QUIC","80","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11028","164.359208","192.168.1.7","36.92.238.140","QUIC","81","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11029","164.359972","192.168.1.7","36.92.238.140","QUIC","81","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11030","164.360356","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11031","164.360356","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11032","164.360356","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11033","164.360356","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11034","164.360356","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11035","164.360612","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11036","164.360612","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11037","164.360612","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11038","164.360612","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11039","164.360612","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11040","164.360612","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11041","164.360612","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11042","164.360612","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11043","164.360612","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11044","164.360612","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11045","164.360952","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11046","164.360952","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11047","164.360952","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11048","164.360952","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11049","164.360952","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11050","164.360952","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11051","164.360952","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11052","164.360952","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11053","164.360952","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11054","164.360952","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
